Year,Title,Worldwide Gross,Budget
This Is the Army,"$9,555,586.44*R","$1,400,000",[# 152][# 153][# 151]
1944,Going My Way,"$6,500,000*R","$1,000,000"
1945,Mom and Dad,"$80,000,000MD/$22,000,000R","$65,000"
The Bells of St. Mary's,"$11,200,000R","$1,600,000",[# 158]
1946,Song of the South,"$65,000,000* ($3,300,000)R","$2,125,000"
The Best Years of Our Lives,"$14,750,000R","$2,100,000",[# 162][# 163]
Duel in the Sun,"$10,000,000*R","$5,255,000",[# 154][# 164]
1947,Forever Amber,"$8,000,000R","$6,375,000"
Unconquered,"$7,500,000R UN","$4,200,000",[# 165][# 166]
1948,Easter Parade,"$5,918,134R","$2,500,000"
The Red Shoes,"$5,000,000*R","£505,581 (~$2,000,000)",[# 154][# 168][# 169]
The Snake Pit,"$4,100,000*R","$3,800,000",[# 170][# 171]
1949,Samson and Delilah,"$14,209,250R","$3,097,563"
1950,Cinderella,"$263,591,415($20,000,000/$7,800,000R)","$2,200,000"
King Solomon's Mines,"$10,050,000R","$2,258,000",[# 176]
1951,Quo Vadis,"$21,037,000–26,700,000R","$7,623,000"
1952,This Is Cinerama,"$50,000,000CI","$1,000,000"
The Greatest Show on Earth,"$18,350,000R GS","$3,873,946",[# 181][# 182][# 97]
1953,Peter Pan,"$145,000,000 ($7,000,000)*R","$3,000,000–4,000,000"
The Robe,"$25,000,000–26,100,000R","$4,100,000",[# 185][# 186][# 178]
1954,Rear Window,"$24,500,000* ($5,300,000)*R","$1,000,000"
White Christmas,"$26,000,050* ($12,000,000)*R","$3,800,000",[# 188][# 189][# 190]
"20,000 Leagues Under the Sea","$25,000,134*($6,800,000–8,000,000)*R","$4,500,000–9,000,000",[# 191][# 192][# 154][# 193]
1955,Lady and the Tramp,"$187,000,000 ($6,500,000)*R","$4,000,000"
Cinerama Holiday,"$21,000,000CI","$2,000,000",[# 196][# 197]
Mister Roberts,"$9,900,000R","$2,400,000",[# 198]
1956,The Ten Commandments,"$90,066,230R($122,700,000/$55,200,000R)","$13,270,000"
1957,The Bridge on the River Kwai,"$30,600,000R","$2,840,000"
1958,South Pacific,"$30,000,000R","$5,610,000"
1959,Ben-Hur,"$90,000,000R($146,900,000/$66,100,000R)","$15,900,000"
1960,Swiss Family Robinson,"$30,000,000R","$4,000,000"
Spartacus,"$60,000,000 ($22,105,225)R","$10,284,014",[# 205][# 206]
Psycho,"$50,000,000+ ($14,000,000)R","$800,000",[# 207]
1961,One Hundred and One Dalmatians,"$303,000,000","$3,600,000–4,000,000"
West Side Story,"$105,000,000 ($31,800,000)R","$7,000,000",[# 209][# 210]
1962,Lawrence of Arabia,"$77,324,852 ($69,995,385)","$13,800,000"
How the West Was Won,"$35,000,000R","$14,483,000",[# 213]
The Longest Day,"$33,200,000R","$8,600,000",[# 210][# 212]
1963,Cleopatra,"$40,300,000R","$31,115,000"
From Russia with Love,"$78,900,000/$29,400,000R($12,500,000)R","$2,000,000",[# 214][# 215][# 216]
1964,My Fair Lady,"$55,000,000R","$17,000,000"
Goldfinger,"$124,900,000 ($46,000,000)R","$3,000,000",[# 214][# 216]
Mary Poppins,"$44,000,000–$50,000,000R","$5,200,000",[# 218][# 217]
1965,The Sound of Music,"$286,214,076 ($114,600,000)R","$8,000,000"
1966,The Bible: In the Beginning,"$25,325,000R","$18,000,000"
Hawaii,"$34,562,222* ($15,600,000)*R","$15,000,000",[# 221][# 154]
Who's Afraid of Virginia Woolf?,"$33,736,689* ($14,500,000)*R","$7,613,000",[# 222][# 154][# 223]
1967,The Jungle Book,"$378,000,000 ($23,800,000)R","$3,900,000–4,000,000"
The Graduate,"$85,000,000R","$3,100,000",[# 226][# 227]
1968,2001: A Space Odyssey,"$141,000,000–190,000,000($21,900,000)R","$10,300,000"
Funny Girl,"$80,000,000–100,000,000","$8,800,000",[# 229][# 230]
1969,Butch Cassidy and the Sundance Kid,"$152,308,525 ($37,100,000)R","$6,600,000"
1970,Love Story,"$173,400,000 ($80,000,000)R","$2,260,000"
1971,The French Connection,"$75,000,000R","$3,300,000"
Fiddler on the Roof,"$49,400,000R  ($100,000,000/$45,100,000R)","$9,000,000",[# 235][# 236]
Diamonds Are Forever,"$116,000,000 ($45,700,000)R","$7,200,000",[# 214][# 215]
1972,The Godfather,"$246,120,974–287,000,000  ($127,600,000–142,000,000)R","$6,000,000–7,200,000"
1973,The Exorcist,"$430,872,776 ($112,300,000)R","$10,000,000"
The Sting,"$115,000,000R","$5,500,000",[# 244][# 245]
1974,The Towering Inferno,"$203,336,412 ($104,838,000)R","$14,300,000"
1975,Jaws,"$477,220,580 ($193,700,000)R","$9,000,000"
1976,Rocky,"$225,000,000 ($77,100,000)R","$1,075,000"
1977,Star Wars,"$775,398,007  ($530,000,000SW/$268,500,000R)","$11,293,151"
1978,Grease,"$396,271,103 ($341,000,000)","$6,000,000"
1979,Moonraker,"$210,308,099","$31,000,000"
Rocky II,"$200,182,160","$7,000,000",[# 263][# 264][# 262]
1980,The Empire Strikes Back,"$550,016,086 ($413,562,607)SW","$23,000,000–32,000,000"
1981,Raiders of the Lost Ark,"$389,925,971  ($321,866,000–353,988,025)","$18,000,000–22,800,000"
1982,E.T. the Extra-Terrestrial,"$797,307,407  ($619,000,000–664,000,000)","$10,500,000–12,200,000"
1983,Return of the Jedi,"$482,466,382 ($385,845,197)SW","$32,500,000–42,700,000"
1984,Ghostbusters,"$370,000,000 ($355,200,000)","$25,000,000–30,000,000"
1985,Back to the Future,"$389,225,789 ($381,109,762)","$19,000,000–22,000,000"
1986,Top Gun,"$357,288,178 ($345,000,000)","$14,000,000–19,000,000"
1987,Fatal Attraction,"$320,145,693","$14,000,000"
1988,Rain Man,"$354,825,435","$30,000,000"
1989,Indiana Jones and the Last Crusade,"$474,171,806–494,000,000","$36,000,000–55,400,000"
1990,Ghost,"$505,870,681 ($505,702,588)","$22,000,000"
1991,Terminator 2: Judgment Day,"$523,774,456 ($519,843,345)","$94,000,000"
1992,Aladdin,"$504,050,219","$28,000,000"
1993,Jurassic Park,"$1,037,535,230 ($912,667,947)","$63,000,000–70,000,000"
1994,The Lion King,"$970,707,763 ($763,455,561)","$45,000,000–79,300,000"
1995,Toy Story,"$373,554,033 ($364,873,776)","$30,000,000"
Die Hard with a Vengeance,"$366,101,666","$70,000,000",[# 292][# 293]
1996,Independence Day,"$817,400,891","$75,000,000"
1997,Titanic,"$2,257,844,554 ($1,843,373,318)","$200,000,000"
1998,Armageddon,"$553,709,788","$140,000,000"
1999,Star Wars: Episode I – The Phantom Menace,"$1,046,515,409 ($924,317,558)","$115,000,000–127,500,000"
2000,Mission: Impossible 2,"$546,388,108","$100,000,000–125,000,000"
2001,Harry Potter and the Philosopher's Stone,"$1,009,046,830HP1 ($974,755,371)","$125,000,000"
2002,The Lord of the Rings: The Two Towers,"$948,945,489 ($936,689,735)","$94,000,000"
2003,The Lord of the Rings: The Return of the King,"$1,147,997,407 ($1,140,682,011)","$94,000,000"
2004,Shrek 2,"$932,530,034 ($928,965,305)","$150,000,000"
2005,Harry Potter and the Goblet of Fire,"$896,346,413 ($895,921,036)","$150,000,000"
2006,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747","$225,000,000"
2007,Pirates of the Caribbean: At World's End,"$960,996,492","$300,000,000"
2008,The Dark Knight,"$1,007,336,937 ($997,039,412)","$185,000,000"
2009,Avatar,"$2,923,706,026 ($2,743,577,587)","$237,000,000"
2010,Toy Story 3,"$1,066,970,811","$200,000,000"
2011,Harry Potter and the Deathly Hallows – Part 2,"$1,342,139,727 ($1,341,511,219)","$250,000,000HP8"
2012,The Avengers,"$1,518,815,515","$220,000,000"
2013,Frozen,"$1,290,000,000 ($1,287,000,000)","$150,000,000"
2014,Transformers: Age of Extinction,"$1,104,039,076","$210,000,000"
2015,Star Wars: The Force Awakens,"$2,068,223,624","$245,000,000"
2016,Captain America: Civil War,"$1,153,337,496 ($1,153,296,293)","$250,000,000"
2017,Star Wars: The Last Jedi,"$1,332,539,889","$200,000,000"
2018,Avengers: Infinity War,"$2,048,359,754","$316,000,000–400,000,000"
2019,Avengers: Endgame,"$2,797,501,328","$356,000,000"
2020,Demon Slayer: Mugen Train,"$507,119,058","$15,750,000"
2021,Spider-Man: No Way Home,"$1,922,598,800 ($1,912,233,593)","$200,000,000"
2022,Avatar: The Way of Water,"$2,320,250,281","$350,000,000–460,000,000"
2023,Barbie,"$1,447,038,421","$128,000,000–145,000,000"
2024,Inside Out 2,"$1,698,863,816","$200,000,000"
2025,Ne Zha 2 †,"$2,058,380,395","$80,000,000"
